host_since,diff_host_since,first_review
2016-07-20,-1387.0,2012-10-02
2012-07-02,10.0,2012-07-12
2012-03-11,180.0,2012-09-07
2012-05-22,1729.0,2017-02-14
2012-05-23,,
2012-04-06,79.0,2012-06-24
2012-05-23,103.0,2012-09-03
2011-09-11,352.0,2012-08-28
2012-04-07,2102.0,2018-01-08
2012-05-02,92.0,2012-08-02
2012-07-03,678.0,2014-05-12
2012-05-23,1285.0,2015-11-29
2011-08-23,237.0,2012-04-16
2012-05-21,56.0,2012-07-16
2011-12-23,891.0,2014-06-01
2012-05-25,1113.0,2015-06-12
2012-05-25,34.0,2012-06-28
2012-07-05,11.0,2012-07-16
2012-07-05,27.0,2012-08-01
2012-07-05,1938.0,2017-10-25
2012-04-05,871.0,2014-08-24
2011-02-12,567.0,2012-09-01
2012-05-07,117.0,2012-09-01
2011-07-14,322.0,2012-05-31
2012-04-23,170.0,2012-10-10
2012-04-14,14.0,2012-04-28
2012-05-28,1204.0,2015-09-14
2012-06-28,34.0,2012-08-01
2011-01-25,1358.0,2014-10-14
2011-06-22,403.0,2012-07-29
2012-05-20,99.0,2012-08-27
2012-07-09,50.0,2012-08-28
2012-07-10,994.0,2015-03-31
2012-05-28,119.0,2012-09-24
2011-03-29,506.0,2012-08-16
2012-04-16,27.0,2012-05-13
2012-05-28,17.0,2012-06-14
2011-06-10,4083.0,2022-08-14
2011-05-30,336.0,2012-04-30
2012-05-12,162.0,2012-10-21
2011-07-11,666.0,2013-05-07
2010-11-15,582.0,2012-06-19
2012-07-11,56.0,2012-09-05
2012-04-11,33.0,2012-05-14
2012-05-29,24.0,2012-06-22
2010-07-15,1027.0,2013-05-07
2012-05-29,446.0,2013-08-18
2010-11-18,570.0,2012-06-10
2011-12-27,219.0,2012-08-02
2011-10-28,524.0,2013-04-04
2012-04-19,809.0,2014-07-07
2011-12-20,490.0,2013-04-23
2012-06-01,46.0,2012-07-17
2012-04-19,15.0,2012-05-04
2012-05-13,94.0,2012-08-15
2012-03-11,2731.0,2019-09-02
2012-06-01,28.0,2012-06-29
2012-07-12,20.0,2012-08-01
2012-01-26,96.0,2012-05-01
2012-07-12,1151.0,2015-09-06
2012-07-13,26.0,2012-08-08
2012-07-13,49.0,2012-08-31
2011-07-08,313.0,2012-05-16
2012-06-02,39.0,2012-07-11
2012-04-23,42.0,2012-06-04
2012-04-23,456.0,2013-07-23
2012-06-03,23.0,2012-06-26
2016-08-01,-1378.0,2012-10-23
2011-03-03,535.0,2012-08-19
2011-09-04,1082.0,2014-08-21
2012-07-14,40.0,2012-08-23
2012-07-14,,
2012-06-03,,
2012-05-22,384.0,2013-06-10
2011-10-09,426.0,2012-12-08
2010-02-07,937.0,2012-09-01
2012-07-15,49.0,2012-09-02
2011-10-09,247.0,2012-06-12
2012-07-16,3.0,2012-07-19
2011-11-03,222.0,2012-06-12
2010-05-13,731.0,2012-05-13
2012-06-06,432.0,2013-08-12
2012-05-22,41.0,2012-07-02
2012-07-05,807.0,2014-09-20
2012-07-17,1080.0,2015-07-02
2012-04-26,10.0,2012-05-06
2012-07-17,43.0,2012-08-29
2012-06-07,130.0,2012-10-15
2012-02-26,131.0,2012-07-06
2010-07-29,699.0,2012-06-27
2010-08-23,793.0,2012-10-24
2012-07-17,1218.0,2015-11-17
2012-04-27,25.0,2012-05-22
2012-06-14,48.0,2012-08-01
2012-06-08,1815.0,2017-05-28
2012-04-28,1169.0,2015-07-11
2012-06-09,123.0,2012-10-10
2012-07-19,44.0,2012-09-01
2012-04-29,54.0,2012-06-22
2012-07-20,34.0,2012-08-23
2012-04-23,67.0,2012-06-29
2010-06-03,706.0,2012-05-09
2009-05-20,1442.0,2013-05-01
2012-07-21,93.0,2012-10-22
2012-04-29,42.0,2012-06-10
2012-07-09,38.0,2012-08-16
2012-06-10,1077.0,2015-05-23
2011-12-23,192.0,2012-07-02
2012-06-11,180.0,2012-12-08
2012-04-30,20.0,2012-05-20
2012-07-22,31.0,2012-08-22
2012-04-30,840.0,2014-08-18
2011-09-12,364.0,2012-09-10
2010-10-16,629.0,2012-07-06
2012-05-01,112.0,2012-08-21
2012-06-11,82.0,2012-09-01
2011-11-26,249.0,2012-08-01
2012-07-23,72.0,2012-10-03
2012-06-25,3690.0,2022-08-02
2012-05-01,8.0,2012-05-09
2011-06-09,478.0,2012-09-29
2012-05-01,51.0,2012-06-21
2012-06-12,41.0,2012-07-23
2012-05-01,61.0,2012-07-01
2012-06-01,393.0,2013-06-29
2012-07-24,9.0,2012-08-02
2012-01-11,251.0,2012-09-18
2012-07-25,19.0,2012-08-13
2012-06-14,471.0,2013-09-28
2012-05-02,30.0,2012-06-01
2012-06-15,502.0,2013-10-30
2012-05-02,38.0,2012-06-09
2012-06-12,83.0,2012-09-03
2012-06-15,29.0,2012-07-14
2012-07-26,447.0,2013-10-16
2012-05-03,81.0,2012-07-23
2010-03-13,898.0,2012-08-27
2012-06-16,8.0,2012-06-24
2010-05-20,1200.0,2013-09-01
2012-03-07,431.0,2013-05-12
2011-08-27,664.0,2013-06-21
2011-10-25,225.0,2012-06-06
2012-01-03,,
2012-05-06,54.0,2012-06-29
2012-07-30,10.0,2012-08-09
2012-07-31,10.0,2012-08-10
2011-07-25,348.0,2012-07-07
2012-06-18,,
2012-06-18,225.0,2013-01-29
2011-12-23,153.0,2012-05-24
2011-06-19,3372.0,2020-09-11
2011-06-26,428.0,2012-08-27
2011-05-13,,
2011-07-13,316.0,2012-05-24
2012-07-31,62.0,2012-10-01
2012-06-19,789.0,2014-08-17
2012-05-07,85.0,2012-07-31
2012-02-21,291.0,2012-12-08
2011-07-18,397.0,2012-08-18
2010-11-09,890.0,2013-04-17
2012-05-08,34.0,2012-06-11
2010-06-29,1061.0,2013-05-25
2012-06-19,6.0,2012-06-25
2012-08-08,40.0,2012-09-17
2012-06-20,,
2012-08-09,13.0,2012-08-22
2012-08-01,5.0,2012-08-06
2010-02-15,1420.0,2014-01-05
2011-02-19,585.0,2012-09-26
2012-08-03,,
2011-07-18,399.0,2012-08-20
2012-03-23,,
2012-08-06,2128.0,2018-06-04
2012-06-15,,
2012-06-21,857.0,2014-10-26
2010-08-08,1001.0,2013-05-05
2012-06-21,2020.0,2018-01-01
2011-09-19,777.0,2013-11-04
2012-05-29,111.0,2012-09-17
2011-12-07,626.0,2013-08-24
2012-06-21,40.0,2012-07-31
2012-08-12,24.0,2012-09-05
2011-03-01,800.0,2013-05-09
2012-08-08,2341.0,2019-01-05
2010-07-12,,
2010-07-12,,
2010-07-12,,
2012-02-12,328.0,2013-01-05
2011-03-01,816.0,2013-05-25
2012-08-12,26.0,2012-09-07
2010-01-25,1318.0,2013-09-04
2012-10-08,18.0,2012-10-26
2012-09-04,,
2012-11-19,408.0,2014-01-01
2012-11-10,1332.0,2016-07-04
2011-02-28,567.0,2012-09-17
2012-10-10,160.0,2013-03-19
2012-08-13,182.0,2013-02-11
2012-10-11,61.0,2012-12-11
2012-10-31,38.0,2012-12-08
2012-10-15,57.0,2012-12-11
2011-06-29,,
2012-08-13,76.0,2012-10-28
2012-08-14,,
2012-11-20,21.0,2012-12-11
2014-05-05,29.0,2014-06-03
2011-07-11,,
2014-05-05,-510.0,2012-12-11
2012-05-04,612.0,2014-01-06
2012-08-15,223.0,2013-03-26
2011-08-23,741.0,2013-09-02
2012-10-15,9.0,2012-10-24
2012-07-24,273.0,2013-04-23
2011-11-14,470.0,2013-02-26
